Posição 1,Posição 2,Posição 3,Posição 4,Posição 5,Posição 6,Posição 7,Posição 8,Posição 9,Posição 10,Posição 11,Posição 12,Posição 13,Posição 14,Posição 15,Posição 16,Posição 17,Posição 18,Posição 19,Posição 20,Posição 21,Posição 22,Posição 23,Posição 24,Posição 25,Posição 26,Posição 27,Posição 28,Posição 29,Posição 30,Posição 31,Posição 32,Posição 33,Posição 34,Posição 35,Posição 36,Posição 37,Posição 38,Posição 39,Posição 40,Posição 41,Posição 42,Melhor jogada,Probabilidade de vitória (%)
,O,X,X,X,O,O,,O,X,O,O,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,0,100.0
,O,X,X,X,O,O,,O,X,O,O,X,X,,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.0
,O,X,X,X,O,O,,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,0,100.0
,O,X,X,X,O,O,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20.287539936102235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,29.852744310575634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,13.885088919288647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,60.705741626794264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,25.62254259501966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,44.92350486787204
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,44.44444444444444
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,32.38786279683377
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,51.74013921113689
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,25.509670674333506
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,64.36745073108709
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,3,13.311965811965813
,,,,,,,,,,,,,,,,,,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,74.29809358752166
,,,,,,,,,,,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,20.74235807860262
,,,,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,70.24828767123287
,,,X,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,9.496383605679078
,,,X,,,,,,,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,75.98670962545309
,,,X,,,,,,X,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,4,8.692709340553083
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,0,76.79796026024266
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,1,10.445656261752537
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,81.45270779906471
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,14.91008991008991
,,,X,,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,4,72.89983844911147
,,,X,X,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,23.637755102040817
,,,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,0,74.59767048990842
,,,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,,1,18.70906502135738
,O,,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,,6,93.59478151524678
,O,,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,X,2,3.134270604927125
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,X,6,98.45343863112866
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,X,X,O,X,X,X,O,X,5,1.323313956236117
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,99.02838251894856
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,X,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,1.0997282040560319
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.10894157756083
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.6155982411478824
,O,O,X,X,,,,O,X,O,O,,,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.5937914225852
,O,O,X,X,,,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.4830287206266318
,O,O,X,X,,O,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,99.82720552942305
,O,O,X,X,,O,,O,X,O,O,,X,,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.08462026655383964
,O,O,X,X,,O,,O,X,O,O,,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,100.0
,O,O,X,X,,O,,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20.739549839228296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,28.75318066157761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,16.515045486354094
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,59.65757089352594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,26.608187134502927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,44.54148471615721
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,46.76320272572402
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,33.59542530378842
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,51.13475177304964
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,20.680018630647414
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,64.4169835234474
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,3,12.98828125
,,,,,,,,,,,,,,,,,,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,73.26293235384145
,,,,,,,,,,,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,18.28413284132841
,,,,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,72.81342772322448
,,,X,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,10.166025024061598
,,,X,,,,,,,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,78.0672708260718
,,,X,,,,,,X,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,4,7.566448510751971
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,0,74.74430157802455
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,1,9.619900205459349
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,81.9419905771496
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,15.622505985634477
,,,X,,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,2,73.89246323529412
,,X,X,,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,24.771128457164885
,,X,X,,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,0,73.86486221437679
,,X,X,,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,,4,16.92413912142919
,,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,,6,94.3535025515276
,,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,X,1,2.863681708819905
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,X,6,98.58338699291693
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,X,X,O,X,X,X,O,X,5,1.341991341991342
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,99.0073810129804
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,X,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,1.1200545121587666
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.10759321770846
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.6346631036457339
,O,X,X,O,,,,O,X,O,O,,,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.57598750278956
,O,X,X,O,,,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.49529249029494443
,O,X,X,O,,O,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,99.83133247345967
,O,X,X,O,,O,,O,X,O,O,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,5,0.089736929107826
,O,X,X,O,O,O,,O,X,O,O,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,100.0
,O,X,X,O,O,O,,O,X,O,O,X,X,,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.0
,O,X,X,O,O,O,,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,100.0
,O,X,X,O,O,O,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22.276422764227643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,28.330995792426368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,16.53076352853966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,59.17456776352482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,27.116311080523054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,45.609065155807365
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,43.77416860015468
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,31.107954545454547
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,50.69124423963134
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,22.48062015503876
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,63.15280464216635
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,3,13.38060384263495
,,,,,,,,,,,,,,,,,,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,74.41974501471068
,,,,,,,,,,,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,19.777015437392794
,,,,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,72.84714119019836
,,,X,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,11.912041392285982
,,,X,,,,,,,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,76.30929791271348
,,,X,,,,,,X,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,1,6.392658852560149
,,,X,,,,,,X,O,,,,,,O,X,X,,,,,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,85.69769130245389
,,,X,,,,,,X,O,,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,15.703380588876772
,,,X,,,,,,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,70.61365059486538
,,X,X,,,,,,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,26.999395039322444
,,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,52.907452907452914
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,6,50.08673026886383
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,O,6,65.79358583227919
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,X,,O,X,X,X,O,O,0,20.262948207171313
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,X,O,O,X,X,X,O,O,6,86.35913680459315
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,,,X,O,O,O,,X,,O,X,O,X,,X,O,O,X,X,X,O,O,6,6.938954765041721
,X,X,X,,,,,O,X,O,,,,,O,O,X,X,,O,,X,O,O,O,,X,,O,X,O,X,,X,O,O,X,X,X,O,O,6,94.98018494055482
,X,X,X,,,,,O,X,O,,,X,,O,O,X,X,,O,,X,O,O,O,,X,,O,X,O,X,,X,O,O,X,X,X,O,O,0,2.85347551342812
,X,X,X,,,,,O,X,O,,,X,,O,O,X,X,,O,,X,O,O,O,,X,O,O,X,O,X,,X,O,O,X,X,X,O,O,6,98.26833527357392
,X,X,X,,,X,,O,X,O,,,X,,O,O,X,X,,O,,X,O,O,O,,X,O,O,X,O,X,,X,O,O,X,X,X,O,O,5,1.028326588907403
,X,X,X,,,X,,O,X,O,,,X,,O,O,X,X,,O,,X,O,O,O,,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,5,99.13852178169358
,X,X,X,,,X,,O,X,O,,,X,,O,O,X,X,,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,5,0.8438818565400843
,X,X,X,,,X,,O,X,O,,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,4,99.34434191355027
,X,X,X,,,X,,O,X,O,X,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,4,0.2997436403076316
,X,X,X,O,,X,,O,X,O,X,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,5,99.84894893634876
,X,X,X,O,,X,,O,X,O,X,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,5,0.07040518182138206
,X,X,X,O,O,X,,O,X,O,X,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,0,100.0
,X,X,X,O,O,X,,O,X,O,X,X,X,,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,0,0.0
,X,X,X,O,O,X,,O,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,0,100.0
,X,X,X,O,O,X,X,O,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19.45244956772334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,29.23497267759563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,14.05440414507772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,64.98075865860363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,25.286624203821656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,43.403298350824585
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,43.59313077939234
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,31.710709318497916
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,50.324675324675326
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,23.916620954470652
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,63.253810470510274
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,1,13.627863487611034
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,71.97113558678313
,,,,,,,,,,,,,,,,,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,25.415676959619955
,,,,,,,,,,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,69.42827798699076
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,25.13927576601671
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,67.79456193353475
,,,,,,,,,X,,,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,26.88588007736944
,,,,,,,,,X,,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,68.91590176134955
,,,,,,,,,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,23.373710183938986
,,,,,,,,O,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,4,81.42937535171637
,,,,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,24.015127639457926
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,0,75.03480278422275
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,6,32.5587175344849
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,O,0,42.63874733623645
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,O,6,82.60354094214354
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,4,8.514127144298689
,,,O,X,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,94.88533603414598
,,,O,X,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,2.315799651904854
,,,O,X,,,,O,X,X,X,,,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,98.01812568469276
,,,O,X,,,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,1.0499162782278137
,,,O,X,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,1,99.57388885600994
,O,,O,X,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,2,0.2221516978736909
,O,X,O,X,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,5,100.0
,O,X,O,X,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,O,O,X,O,X,X,X,O,O,5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18.055555555555554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,30.583824317086233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,14.498006524102935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,61.847168774051674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,26.234213547646384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,45.37292817679558
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,43.859649122807014
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,33.87096774193548
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,50.62866722548198
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,21.729237770193404
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,61.93484042553191
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,1,13.608017817371937
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,71.97651663405088
,,,,,,,,,,,,,,,,,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,25.41589648798521
,,,,,,,,,,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,70.84569732937686
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,23.768115942028984
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,68.91064871481028
,,,,,,,,,X,,,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,28.57142857142857
,,,,,,,,,X,,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,69.26276866189045
,,,,,,,,,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,23.946259220231823
,,,,,,,,O,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,4,81.43491124260355
,,,,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,24.55673758865248
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,0,73.98298530549111
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,6,32.755147717099376
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,O,0,39.25580510087553
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,O,6,82.61847514154968
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,1,7.8897280039295135
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,94.71740768651092
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,2.548725637181409
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,97.83098127505355
