Posição 1,Posição 2,Posição 3,Posição 4,Posição 5,Posição 6,Posição 7,Posição 8,Posição 9,Posição 10,Posição 11,Posição 12,Posição 13,Posição 14,Posição 15,Posição 16,Posição 17,Posição 18,Posição 19,Posição 20,Posição 21,Posição 22,Posição 23,Posição 24,Posição 25,Posição 26,Posição 27,Posição 28,Posição 29,Posição 30,Posição 31,Posição 32,Posição 33,Posição 34,Posição 35,Posição 36,Posição 37,Posição 38,Posição 39,Posição 40,Posição 41,Posição 42,Melhor jogada,Probabilidade de vitória (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,27.31411229135053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,14.488424197162061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,62.610132158590304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,4,31.526271893244374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,X,,,5,40.123934934159564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,X,O,,2,39.221014492753625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,X,O,,3,20.850767085076708
,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,O,,,,,O,X,X,X,O,,3,69.47368421052632
,,,,,,,,,,,,,,,,,X,,,,,,,O,,,,,,X,O,,,,,O,X,X,X,O,,4,22.084367245657567
,,,,,,,,,,,,,,,,,X,,,,,,,O,,,,,,X,O,O,,,,O,X,X,X,O,,5,76.10264635124298
,,,,,,,,,,,,,,,,,X,,,,,,,O,,,,,,X,O,O,X,,,O,X,X,X,O,,4,13.115942028985508
,,,,,,,,,,,,,,,,,X,,,,,,,O,O,,,,,X,O,O,X,,,O,X,X,X,O,,5,83.07134220072552
,,,,,,,,,,,,,,,,,X,,,,,,,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,2,19.529882470617654
,,,,,,,,,,,,,,,,,X,,,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,2,73.84579329739864
,,,,,,,,,,,,,,,,X,X,,,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,4,20.93852908891328
,,,,,,,,,,,,,,,,X,X,O,,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,4,73.71165029075597
,,,,,,,,,,,X,,,,,X,X,O,,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,5,21.26217704362558
,,,,,,,,,,,X,,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,3,73.61952861952862
,,,,,,,,,,X,X,,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,5,17.9731925264013
,,,,,,,,,,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,3,85.91772151898735
,,,X,,,,,,,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,2,17.12351387054161
,,,X,,,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,4,86.81860178626425
,,,X,X,,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,2,15.240555376170487
,,O,X,X,,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,,O,X,X,X,O,,0,89.16666666666667
,,O,X,X,,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,X,O,X,X,X,O,,5,7.751379889608831
,,O,X,X,O,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,,,X,O,O,X,,X,O,X,X,X,O,,0,96.65691056910569
,,O,X,X,O,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,,6,2.339248017344668
,,O,X,X,O,,,,O,X,X,O,,,,X,X,O,O,,,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,O,0,98.89110889110889
,,O,X,X,O,,,,O,X,X,O,,,,X,X,O,O,,X,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,O,0,0.7473841554559043
,,O,X,X,O,,,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,O,0,99.54747374102213
,,O,X,X,O,,X,,O,X,X,O,,O,,X,X,O,O,,X,,O,O,O,X,,X,,X,O,O,X,,X,O,X,X,X,O,O,0,0.26925827758845555
